epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.7793489218983357,0.20364314800778247,0.051250619785813536,0.22373339034405496,0.988198825378086,0.019439924907072276,0.04369439369421301,0.036568126683593306
1,0.9881968074751314,0.01671447063794963,0.03915907031537101,0.03206482575395487,0.989598966041843,0.013334446052129013,0.04015756193900516,0.029076209884382438
2,0.9911517802895874,0.012040798979848048,0.033108548169630686,0.025019349558294934,0.9885988644044725,0.013291804268412238,0.03501730636529701,0.027018587917822672
3,0.9920366019322503,0.009923065805863341,0.028679850154094817,0.021165566748798697,0.9915991637549146,0.01017637637203349,0.03340423091275893,0.0232708344429937
4,0.9933387930788189,0.008614251547381388,0.025989968437883627,0.018802318863218554,0.9894989549440079,0.011829543438698067,0.031524553166256984,0.024187168076445144
5,0.9933054037039506,0.007623576078766195,0.024026505900939812,0.017041966198740977,0.9905990641025773,0.009223447597883391,0.029791163072155433,0.02090158324876074
6,0.993639298610913,0.0071946375666558406,0.022490454851953126,0.016010895620643874,0.991099114822905,0.009584087979035264,0.02857077880652145,0.020783832917983372
7,0.9944573415705102,0.006483489989451802,0.02104954543648358,0.014734911574234719,0.9912991344374363,0.008188881440006094,0.026620178858693964,0.01862399129088771
8,0.9943404784276053,0.005917436425083671,0.019916717495548044,0.013724789486627344,0.9911991251279192,0.007996888228486317,0.02633731363873796,0.018321114914430857
9,0.9948914052966473,0.005787008376829855,0.018908000869451675,0.01319894454992045,0.9920992148746335,0.007454580155846774,0.024704502128546732,0.017138744827837917
10,0.9950583527998828,0.005280757674073618,0.018069709603734555,0.012364083645528328,0.9921992235880445,0.007900454304317493,0.023779091092072636,0.017221857691266582
11,0.9956760588157005,0.004700393106420573,0.01731893475400039,0.011489415333411593,0.9920992142785274,0.007334739143840793,0.022839289397956528,0.016287740328163727
12,0.9957762273373446,0.004536227618559152,0.01669707742938499,0.011081481807451448,0.9928992955085456,0.007195362689137871,0.02235389993966508,0.015958091223982944
13,0.9961435119167059,0.0041182286834958145,0.01620481385291842,0.01047051553909776,0.9931993240332029,0.0067429763462047475,0.02165440662615638,0.015231503485360615
14,0.9960934276230461,0.004058729923267798,0.015716947124818106,0.010219773030827967,0.9929993042219566,0.006568269578699997,0.02123794597618752,0.014893544161810924
15,0.9964774069560147,0.0037489236797310457,0.015375857985760376,0.00977625987377616,0.991799184162267,0.0073292584115259565,0.020981621956734947,0.015554054038259539
